Occurred,Lon,Lat,City,State,Legal Cannabis,Country,Shape,Summary,Media,Explanation
9/4/2023,-106.6329806,35.2702448,Rio Rancho,NM,6/29/2021,USA,Unknown,19 green objects moving at a mid rate of speed,Y,Starlink
4/25/1978,-117.230949,38.0681008,Tonopah,NV,1/1/2017,USA,Fireball,Pinkish fireball that broke apart and changed color to a bluish on a smaller pc. 4 witnesses.,,
,,,,NY,3/31/2021,,,,,
10/1/2005,-81.4828123,41.1362729,Cuyahoga Falls,OH,12/7/2023,USA,Other,"V-shaped object seen in sky of Cuyahoga Falls, Ohio",,
9/13/2009,-81.4548392,39.4167742,Marietta,OH,12/7/2023,USA,Circle,Circular space craft with large light in center and small surrounding circular lights seen hoovering near I-77,,
1/6/2001,-82.5862699,38.4178597,South Point,OH,12/7/2023,USA,Sphere,"the object had a bright white center and a weblike bright white formed structure forming the bottom, could not be a star because it van",,
7/26/2022,-122.5820333,45.2215112,Mulino,OR,7/1/2015,USA,Circle,An object flashed goldish white 4 times and a flash behind it.,,
4/19/1966,-122.674194,45.5202471,Portland,OR,7/1/2015,USA,Formation,I was looking northeast and saw 4 very bright objects. I made my friend stop the car and I got out and took 4 pictures with my phone.,,
8/28/2008,-75.4712794,40.6022059,Allentown,PA,1/1/2050,USA,Disk,Slowly hovering disk shaped object with a four pronged star-like shape on the bottom flying 60 feet above tree level.,,
4/1/1935,-80.0852695,42.1294712,Erie,PA,1/1/2050,USA,Circle,orb repeat,,
11/30/2006,-75.9279495,40.335345,Reading,PA,1/1/2050,USA,Other,LARGE CRAFT SEEN OVER READING PENNSYLVANIA - SOME LIGHTS FLASHING RED SOME JUST RED AND ALSO WHITE LIGHTS ON CRAFT. CRAFT WAS HEADING,,
4/21/1989,-80.4934035,41.2331116,Sharon,PA,1/1/2050,USA,Fireball,Four red/orange fireballs seen over sharon/farrell pa materializing and disapearing,,
7/28/2019,-71.7581249,41.8537098,Foster,RI,5/25/2022,USA,Sphere,Foster/Scituate UFO/UAP,,
4/19/1991,-82.0906082,35.047841,Inman,SC,1/1/2050,USA,Cigar,Very large red laser lights flying low as big as a jet liner witnessed a mile away by friend flying 100 foot above the ground.,,
4/25/1938,-79.1215912,33.4293486,Pawleys Island,SC,1/1/2050,USA,Circle,We saw one large orange ball of light move over the ocean very purposefully. It reached a spot on the horizon and disappeared. Momen,,
5/17/2005,-99.7475905,32.44645,Abilene,TX,1/1/2050,USA,Light,"two points of light traversing the west texas sky, one seemingly in pursuit of the other",,
9/26/2020,-95.1620137,29.9990074,Atascocita,TX,1/1/2050,USA,Orb,Saw the two lights hover,,Chinese Lantern?
4/11/1954,-101.9576725,33.7659165,Caldwell,TX,1/1/2050,USA,Diamond,"We were walking with our church group and we were watching the stars then an intense noise rang out, but we couldn't see where it came",,
4/28/1969,-98.4951405,29.4246002,San Antonio,TX,1/1/2050,USA,Light,The watcher's were spotted.,,
7/1/1970,-98.4951405,29.4246002,San Antonio,TX,1/1/2050,USA,Oval,San Antonio UFO sighting in 1970 while parking with girlfriend.,,
6/1/1969,-77.1710914,38.882334,Falls Church,VA,7/1/2021,USA,Other,round plate like structure,,
4/16/1946,-76.3442846,37.0264414,Hampton,VA,7/1/2021,USA,Light,Beams of light full length of the sky moving horizontal like a helicopter blade would.,,
11/20/1999,-77.649268,37.5062673,Midlothian,VA,7/1/2021,USA,Fireball,I WAS OUTSIDE AND I LOOKED UP AND SAW A VERY BRIGHT LIGHT BLUE OBJECT SHOOT HALVEWAY ACROSS THE SKY AND THEN DISSAPEAR,,
,,,,VI,1/18/2023,,,,,
,,,,VT,7/1/2018,,,,,
4/10/1997,-122.8950075,47.0451022,Olympia,WA,12/6/2012,USA,Fireball,"Two circle shaped orbs were spotted for about 10 minutes, both appeared to have fire inside them and following them.",,
4/24/2020,-89.3001174,43.5377608,Pardeeville,WI,1/1/2050,USA,Other,me my wife a friend and 2 kids 10 and 12 saw many lights in a line fly across the sky and disappear. ((Starlink satellites?)),,
7/15/2002,-88.2612045,43.0805651,Pewaukee,WI,1/1/2050,USA,Flash,Me and my friend have a UFO on tape. It was all by luck but I dont think it is a plane because it is this dot of light that just is ver,,
4/11/1934,-88.1834277,43.4252776,West Bend,WI,1/1/2050,USA,Oval,Most amazing thing I have ever seen in my 48 years and hope I never see nothing like that again.,,
11/4/2007,-108.75902,44.752873,Powell,WY,1/1/2050,USA,Triangle,single triangle craft with four dim light rings spaced evenly on each side,,
